"","modified_vector"
"1","4-carene"
"2","alpha-pinene"
"3","beta-myrcene"
"4","alpha-terpinene"
"5","camphene93"
"6","beta-thujene93"
"7","beta-terpinene93"
"8","3-carene93"
"9","alpha-phellandrene93"
"10","limonene93"
"11","beta-phellandrene93"
"12","alpha-terpinene93"
"13","gamma-terpinene93"
"14","delta-terpinene93"
"15","2-carene93"
"16","levomenthol95"
"17","camphor95"
"18","14-cineole111"
"19","o-cymene119"
"20","p-cymene119"
"21","cyanogenchloride61"
"22","carbontetrachloride"
"23","chloroform83"
"24","2-chloropropane43"
"25","13-dichlorobenzene"
"26","methylenechloride"
"27","11-dichloroethene61"
"28","methanol"
"29","isoprene"
"30","acetone"
"31","propan-1-ol31"
"32","ethanol"
"33","isopropanol"
"34","benzene78"
"35","toluene91"
"36","ethylbenzene"
"37","o-xylene106"
"38","m-xylene106"
"39","p-xylene106"
"40","135-TMB"
"41","124-TMB"
"42","123-TMB"
"43","propane"
"44","isobutane"
"45","n-butane"
"46","n-pentane"
